Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Mark Tasks as Completed,TASK-24,10080,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 2:55 PM,28/Dec/24 7:45 PM,28/Dec/24 2:55 PM,,0,"The user should be able to:

* Click a checkbox or button to mark a task as completed.
* Save the completed status in the database.
* Display completed tasks with a visual distinction (e.g., strike-through or different color)",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74345384_*|*_10017_*:*_1_*:*_0,,,Done,28/Dec/24 2:55 PM
Implement a confirmation prompt for deletion.,TASK-22,10078,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 7:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_91730706_*|*_10016_*:*_1_*:*_0,10075,Delete Tasks,Done,28/Dec/24 7:56 PM
Add a delete button to each task in the frontend.,TASK-21,10077,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:57 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74462491_*|*_10017_*:*_1_*:*_0,10075,Delete Tasks,Done,28/Dec/24 2:57 PM
Build a backend API to delete tasks.,TASK-20,10076,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:57 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74463344_*|*_10017_*:*_1_*:*_0,10075,Delete Tasks,Done,28/Dec/24 2:57 PM
Delete Tasks,TASK-19,10075,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 2:55 PM,28/Dec/24 8:21 PM,28/Dec/24 2:55 PM,,0,"The user should be able to:

* Select a task to delete.
* Confirm the deletion.
* Remove the task from the database and UI.",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74375647_*|*_10017_*:*_1_*:*_0,,,Done,28/Dec/24 2:55 PM
Add functionality to pre-fill the form with existing task details,TASK-17,10073,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:57 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74461559_*|*_10017_*:*_1_*:*_0,10070,Edit Tasks,Done,28/Dec/24 2:57 PM
Create a frontend form for editing tasks.,TASK-16,10072,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:16 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:57 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74460426_*|*_10017_*:*_1_*:*_0,10070,Edit Tasks,Done,28/Dec/24 2:57 PM
Build a backend API to update tasks.,TASK-15,10071,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:15 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74461579_*|*_10017_*:*_1_*:*_0,10070,Edit Tasks,Done,28/Dec/24 2:56 PM
Edit Tasks,TASK-14,10070,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:15 PM,28/Dec/24 2:55 PM,28/Dec/24 8:32 PM,28/Dec/24 2:55 PM,,0,"The user should be able to:

* Modify the task name, description, and due date.
* Save the changes to the database.",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74413367_*|*_10017_*:*_1_*:*_0,,,Done,28/Dec/24 2:55 PM
Implement dynamic rendering of tasks from the backend,TASK-12,10068,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:15 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74485413_*|*_10017_*:*_1_*:*_0,10065,View Tasks,Done,28/Dec/24 2:56 PM
Create a frontend task list UI,TASK-11,10067,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:15 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74485503_*|*_10017_*:*_1_*:*_0,10065,View Tasks,Done,28/Dec/24 2:56 PM
Build a backend API to fetch tasks from the database,TASK-10,10066,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:15 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74487230_*|*_10017_*:*_1_*:*_0,10065,View Tasks,Done,28/Dec/24 2:56 PM
View Tasks,TASK-9,10065,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:14 PM,28/Dec/24 2:55 PM,28/Dec/24 8:22 PM,28/Dec/24 2:55 PM,,0,"* The user should see a list of all tasks with:
** Task name
** Description
** Due date
** Status (e.g., completed or not)

Tasks should display dynamically based on the database content.",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74464188_*|*_10017_*:*_1_*:*_0,,,Done,28/Dec/24 2:55 PM
Create a frontend form for adding tasks,TASK-7,10063,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:13 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 2:56 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_58898755_*|*_10016_*:*_1_*:*_0,10060,Adding Tasks,Done,28/Dec/24 2:56 PM
Build a backend API to add tasks,TASK-6,10062,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:13 PM,28/Dec/24 8:32 PM,16/Jan/25 9:12 AM,28/Dec/24 10:35 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_58900127_*|*_10017_*:*_1_*:*_0,10060,Adding Tasks,Done,28/Dec/24 10:35 AM
Design the database schema for tasks,TASK-5,10061,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:13 PM,28/Dec/24 8:32 PM,16/Jan/25 1:28 AM,28/Dec/24 10:35 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_58904267_*|*_10017_*:*_1_*:*_0,10060,Adding Tasks,Done,28/Dec/24 10:35 AM
Adding Tasks,TASK-4,10060,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 6:13 PM,28/Dec/24 2:55 PM,28/Dec/24 8:22 PM,28/Dec/24 2:55 PM,,0,"The user should be able to input task details like:

Task name, Description, Due date

The task should be saved to the database.

It should display in the task list after adding.",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,Task CRUD Operations,,,,,,,,,,,10015_*:*_1_*:*_74535511_*|*_10017_*:*_1_*:*_0,,,Done,28/Dec/24 2:55 PM
Set up project repository,TASK-1,10057,Task,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,27/Dec/24 5:58 PM,27/Dec/24 6:12 PM,16/Jan/25 1:27 AM,27/Dec/24 6:07 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzr:,,,,,,,,,,,,,,10015_*:*_1_*:*_15286_*|*_10016_*:*_1_*:*_0,,,Done,27/Dec/24 6:07 PM
